mexico.starbucks.com                                    204.74.99.103
microsite-chd.starbucks.com                             204.238.150.46
microsite-iad.starbucks.com                             98.99.252.58
microstrategy.starbucks.com                             199.233.179.62
mnp.eapi.starbucks.com                                  34.237.118.183
mobilecarddownload.starbucks.com                        204.74.99.103
mobilecard.starbucks.com                                204.74.99.103
mobile.starbucks.com                                    204.74.99.103
mobility3.starbucks.com                                 185.204.152.78
mobility3.starbucks.com.cn                              180.153.48.188
mobility4.starbucks.com.cn                              120.136.132.25
mobility-cert.starbucks.com                             98.99.251.16
mobility-rtl-az.starbucks.com                           98.99.251.18
mobility-rtl-cert.starbucks.com                         98.99.251.19
mobility-rtl-va.starbucks.com                           98.99.255.18
mobility-us-az.starbucks.com                            98.99.251.14
mobility-us-va.starbucks.com                            98.99.255.13
mock.sei.starbucks.com                                  13.107.246.13
morestars.starbucks.com                                 204.74.99.103
mp.eapi.starbucks.com                                   34.237.118.176
mpi-chd.starbucks.com                                   204.238.150.28
mpi-sorry.starbucks.com                                 98.99.252.177
mrs1.starbucks.com                                      98.99.250.133
MRS1.starbucks.com                                      98.99.250.133
mrs2.starbucks.com                                      98.99.250.134
MRS2.starbucks.com                                      98.99.250.134
mrs3.starbucks.com                                      98.99.254.178
MRS3.starbucks.com                                      98.99.254.178
mrs4.starbucks.com                                      98.99.254.18
MRS4.starbucks.com                                      98.99.254.18
msdev-sts-chd.starbucks.com                             98.99.250.50
msdev-sts.starbucks.com                                 98.99.250.50
ms-sts-chd.starbucks.com                                204.238.150.29
mta1.em.insights.starbucks.com                          216.24.225.208
mta432.a.starbucks.com                                  63.236.31.218
mta432.e.starbucks.com                                  63.236.31.230
mta440.a.starbucks.com                                  63.236.31.219
mta440.e.starbucks.com                                  63.236.31.231
mta834.e.starbucks.com                                  63.236.31.232
mta835.e.starbucks.com                                  63.236.31.233
mtestwww2.starbucks.com                                 98.99.252.22
mydailydev.starbucks.com                                51.143.106.164
mydaily.starbucks.com                                   51.143.59.82
mydailytest.starbucks.com                               40.91.123.151
mypartnerinfo-ext-chd.starbucks.com                     204.238.150.28
mypartnerinfo-ext.gtm.starbucks.com                     98.99.254.16
mypartnerinfo-ext.starbucks.com                         98.99.254.16
mysite-ec3.starbucks.com                                98.99.252.94
mysite.starbucks.com                                    98.99.252.118
news.starbucks.com                                      52.176.63.79
np.playbuilder.starbucks.com                            52.249.207.245
np.sei.starbucks.com                                    13.107.246.13
ny7p01lppmta258.e.starbucks.com                         8.30.201.113
ny7p01lppmta281.e.starbucks.com                         8.30.201.110
ny7p01lppmta282.e.starbucks.com                         8.30.201.111
ny7p01lppmta283.e.starbucks.com                         8.30.201.112
o21.ptr974.starbucks.com                                149.72.235.247
o9cprdev.starbucks.com                                  13.64.190.168
o9cprprod.starbucks.com                                 40.78.86.232
oam-dcc-cert-iad.starbucks.com                          98.99.254.233
oam-dcc-cert.starbucks.com                              98.99.254.233
oam-dcc-dev-iad.starbucks.com                           98.99.254.189
oam-dcc-dev.starbucks.com                               98.99.254.189
oam-dcc-prod-iad.starbucks.com                          98.99.254.252
oam-dcc.starbucks.com                                   98.99.254.252
oapi.starbucks.com                                      34.237.118.122
ocsp.gtm.starbucks.com                                  98.99.254.109
oem-omcs.starbucks.com                                  144.23.238.252
openapi.starbucks.com                                   34.237.118.89
opsexcellence-iad.starbucks.com                         98.99.254.168
opsexcellence.starbucks.com                             98.99.254.168
orchestra.starbucks.com                                 98.99.254.232
ordering-cert.starbucks.com                             98.99.254.125
